step,loss,learning_rate,epoch
1,1.9106,1.967e-05,0.05
2,1.8884,1.933e-05,0.1
3,1.8188,1.9e-05,0.15
4,1.7696,1.867e-05,0.2
5,1.6902,1.833e-05,0.25
6,1.6742,1.8e-05,0.3
7,1.5763,1.767e-05,0.35
8,1.5737,1.733e-05,0.4
9,1.4889,1.7e-05,0.45
10,1.4455,1.667e-05,0.5
11,1.374,1.633e-05,0.55
12,1.3484,1.6e-05,0.6
13,1.346,1.567e-05,0.65
14,1.2453,1.533e-05,0.7
15,1.2393,1.5e-05,0.75
16,1.2027,1.467e-05,0.8
17,1.1834,1.433e-05,0.85
18,1.1012,1.4e-05,0.9
19,1.0905,1.367e-05,0.95
20,1.0959,1.333e-05,1.0
21,1.0286,1.3e-05,1.05
22,1.0215,1.267e-05,1.1
23,0.9759,1.233e-05,1.15
24,0.9676,1.2e-05,1.2
25,0.9477,1.167e-05,1.25
26,0.8539,1.133e-05,1.3
27,0.8541,1.1e-05,1.35
28,0.8408,1.067e-05,1.4
29,0.8124,1.033e-05,1.45
30,0.774,1e-05,1.5
31,0.7419,9.67e-06,1.55
32,0.7952,9.33e-06,1.6
33,0.7649,9e-06,1.65
34,0.7235,8.67e-06,1.7
35,0.7312,8.33e-06,1.75
36,0.7122,8e-06,1.8
37,0.6312,7.67e-06,1.85
38,0.617,7.33e-06,1.9
39,0.6369,7e-06,1.95
40,0.5929,6.67e-06,2.0
41,0.6066,6.33e-06,2.05
42,0.5579,6e-06,2.1
43,0.5333,5.67e-06,2.15
44,0.5266,5.33e-06,2.2
45,0.5599,5e-06,2.25
46,0.5416,4.67e-06,2.3
47,0.5497,4.33e-06,2.35
48,0.4779,4e-06,2.4
49,0.5148,3.67e-06,2.45
50,0.4519,3.33e-06,2.5
51,0.4669,3e-06,2.55
52,0.4647,2.67e-06,2.6
53,0.4285,2.33e-06,2.65
54,0.4692,2e-06,2.7
55,0.416,1.67e-06,2.75
56,0.4695,1.33e-06,2.8
57,0.4148,1e-06,2.85
58,0.4095,6.7e-07,2.9
59,0.3744,3.3e-07,2.95
60,0.4326,0.0,3.0
